"","probe","gene","id","weight"
"1","226936_at","CENPW","ENSG00000203760",1
"2","226980_at","DEPDC1B","ENSG00000035499",1
"3","235353_at","SEL1L3","ENSG00000091490",-1
"4","229553_at","PGM2L1","ENSG00000165434",1
"5","203755_at","BUB1B","ENSG00000156970",1
"6","225687_at","FAM83D","ENSG00000101447",1
"7","203358_s_at","EZH2","ENSG00000106462",1
"8","225272_at","SAT2","ENSG00000141504",-1
"9","219855_at","NUDT11","ENSG00000196368",1
"10","203764_at","DLGAP5","ENSG00000126787",1
"11","219978_s_at","NUSAP1","ENSG00000137804",1
"12","220945_x_at","MANSC1","ENSG00000111261",-1
"13","214464_at","CDC42BPA","ENSG00000143776",1
"14","221520_s_at","CDCA8","ENSG00000134690",1
"15","218726_at","HJURP","ENSG00000123485",1
"16","218460_at","DNAAF5","ENSG00000164818",1
"17","204031_s_at","PCBP2","ENSG00000197111",-1
"18","234672_s_at","NDC1","ENSG00000058804",1
