"","probe","gene","id","weight"
"1","220448_at","KCNK12","ENSG00000184261",2.28
"3","223743_s_at","MRPL4","ENSG00000105364",2.45
"4","207087_x_at","ANK1","ENSG00000029534",-2.97
"5","208352_x_at","ANK1","ENSG00000029534",-2.56
"6","205390_s_at","ANK1","ENSG00000029534",-2.77
"7","208353_x_at","ANK1","ENSG00000029534",-2.91
"8","205391_x_at","ANK1","ENSG00000029534",-2.78
"9","208886_at","H1F0","ENSG00000189060",-2.79
"10","212281_s_at","TMEM97","ENSG00000109084",2.45
"11","227654_at","RIPOR3","ENSG00000042062",-2.35
"15","205268_s_at","ADD2","ENSG00000075340",-2.38
"16","223625_at","FAM126A","ENSG00000122591",2.39
"17","223669_at","HEMGN","ENSG00000136929",-2.39
"18","223670_s_at","HEMGN","ENSG00000136929",-2.3
"28","202219_at","SLC6A8","ENSG00000130821",-2.4
"32","210504_at","KLF1","ENSG00000105610",-2.48
"33","241224_x_at","DSCR8","ENSG00000198054",2.42
"34","215449_at","TSPO2","ENSG00000112212",-2.69
"35","203828_s_at","IL32","ENSG00000008517",2.58
"36","201131_s_at","CDH1","ENSG00000039068",-2.35
"40","212750_at","PPP1R16B","ENSG00000101445",2.29
"41","219672_at","AHSP","ENSG00000169877",-2.44
"42","216054_x_at","MYL4","ENSG00000198336",-2.49
"43","210395_x_at","MYL4","ENSG00000198336",-2.43
"44","200934_at","DEK","ENSG00000124795",-2.61
"46","217865_at","RNF130","ENSG00000113269",-2.57
"47","218826_at","SLC35F2","ENSG00000110660",2.32
"48","211425_x_at","SSX6","ENSG00000171483",2.8
"50","235916_at","YPEL4","ENSG00000166793",-2.52
"53","218695_at","EXOSC4","ENSG00000178896",2.63
"54","237403_at","GFI1B","ENSG00000165702",-2.82
"56","207666_x_at","SSX3","ENSG00000165584",2.46
"67","220565_at","CCR10","ENSG00000184451",2.5
"68","236981_at","C17orf99","ENSG00000187997",-2.49
"69","218529_at","CD320","ENSG00000167775",2.47
"73","209301_at","CA2","ENSG00000104267",-2.37
"74","205950_s_at","CA1","ENSG00000133742",-2.4
"75","210986_s_at","TPM1","ENSG00000140416",-2.57
"76","232232_s_at","SLC22A16","ENSG00000004809",-2.39
"81","232231_at","RUNX2","ENSG00000124813",2.55
"82","210215_at","TFR2","ENSG00000106327",-2.55
"83","206077_at","KEL","ENSG00000197993",-2.74
"84","206937_at","SPTA1","ENSG00000163554",-2.53
"85","204249_s_at","LMO2","ENSG00000135363",-2.52
"86","208335_s_at","ACKR1","ENSG00000213088",-2.37
"101","209160_at","AKR1C3","ENSG00000196139",-3.07
"102","205592_at","SLC4A1","ENSG00000004939",-2.3
"103","229826_at","SMIM4","ENSG00000168273",2.31
"104","226219_at","ARHGAP30","ENSG00000186517",2.57
"105","225400_at","TSEN15","ENSG00000198860",2.33
"106","205262_at","KCNH2","ENSG00000055118",-3.22
"107","210036_s_at","KCNH2","ENSG00000055118",-2.55
"114","37986_at","EPOR","ENSG00000187266",-2.61
"115","227212_s_at","PHF19","ENSG00000119403",2.37
"116","226751_at","CNRIP1","ENSG00000119865",-2.5
"120","208416_s_at","SPTB","ENSG00000070182",-2.29
"122","214464_at","CDC42BPA","ENSG00000143776",-2.62
"123","227126_at","PTPRG","ENSG00000144724",2.87
"124","204944_at","PTPRG","ENSG00000144724",3.05
"125","221627_at","TRIM10","ENSG00000204613",-2.7
"131","205718_at","ITGB7","ENSG00000139626",2.52
"137","225548_at","SHROOM3","ENSG00000138771",2.52
"138","211821_x_at","GYPA","ENSG00000170180",-2.42
"139","205837_s_at","GYPA","ENSG00000170180",-2.42
"140","205838_at","GYPA","ENSG00000170180",-2.36
"141","211820_x_at","GYPA","ENSG00000170180",-2.36
"142","203662_s_at","TMOD1","ENSG00000136842",-2.65
"143","202201_at","BLVRB","ENSG00000090013",-2.69
"144","209930_s_at","NFE2","ENSG00000123405",-2.37
"145","206145_at","RHAG","ENSG00000112077",-2.72
"146","221601_s_at","FCMR","ENSG00000162894",2.85
"147","221602_s_at","FCMR","ENSG00000162894",2.51
"148","204430_s_at","SLC2A5","ENSG00000142583",2.9
"149","224579_at","SLC38A1","ENSG00000111371",2.33
"153","206488_s_at","CD36","ENSG00000135218",-2.47
"154","242197_x_at","CD36","ENSG00000135218",-2.54
"155","209555_s_at","CD36","ENSG00000135218",-2.68
"156","225061_at","DNAJA4","ENSG00000140403",-2.88
"158","225213_at","PPTC7","ENSG00000196850",2.4
"159","210746_s_at","EPB42","ENSG00000166947",-2.35
"164","206283_s_at","TAL1","ENSG00000162367",-2.69
"168","225105_at","C12orf75","ENSG00000235162",2.94
"169","213451_x_at","TNXB","ENSG00000168477",-2.96
"170","216333_x_at","TNXB","ENSG00000168477",-2.88
"171","206093_x_at","TNXB","ENSG00000168477",-2.64
"172","209942_x_at","MAGEA3","ENSG00000221867",2.48
"173","214612_x_at","MAGEA3","ENSG00000221867",2.34
"174","205671_s_at","HLA-DOB","ENSG00000241106",-2.47
"175","212680_x_at","PPP1R14B","ENSG00000173457",2.34
"176","210394_x_at","SSX1","ENSG00000126752",2.96
"177","206626_x_at","SSX1","ENSG00000126752",2.82
"178","210497_x_at","SSX2","ENSG00000241476",2.76
"179","216471_x_at","SSX2","ENSG00000241476",2.61
"180","206640_x_at","GAGE12C","ENSG00000237671",2.32
"181","205033_s_at","DEFA1B","ENSG00000240247",-2.53
"182","210430_x_at","RHD","ENSG00000187010",-2.61
"183","210586_x_at","RHD","ENSG00000187010",-2.67
"184","215819_s_at","RHCE","ENSG00000188672",-2.47
"185","211674_x_at","CTAG1B","ENSG00000184033",2.66
