"","probe","gene","id","weight"
"2","213607_x_at","NADK","ENSG00000008130",0.232
"3","205235_s_at","KIF20B","ENSG00000138182",0.269
"4","204016_at","LARS2","ENSG00000011376",0.193
"5","1557277_a_at","LINC01016","ENSG00000249346",-0.296
"7","220789_s_at","TBRG4","ENSG00000136270",0.191
"8","206513_at","AIM2","ENSG00000163568",0.158
"9","219918_s_at","ASPM","ENSG00000066279",-0.402
"10","206364_at","KIF14","ENSG00000118193",0.375
"11","213628_at","CLCC1","ENSG00000121940",-0.251
"12","200638_s_at","YWHAZ","ENSG00000164924",0.283
"13","242488_at","CHRM3","ENSG00000133019",0.148
"14","200850_s_at","AHCYL1","ENSG00000168710",-0.208
"15","202729_s_at","LTBP1","ENSG00000049323",-0.287
"16","211576_s_at","SLC19A1","ENSG00000173638",0.316
"17","203432_at","TMPO","ENSG00000120802",0.251
"18","218924_s_at","CTBS","ENSG00000117151",-0.23
"19","201897_s_at","CKS1B","ENSG00000173207",0.314
