"","x","probe","gene","id","weight"
"1",1,"208931_s_at","ILF3","ENSG00000129351",0.02
"2",2,"201105_at","LGALS1","ENSG00000100097",0.02
"3",3,"208117_s_at","LAS1L","ENSG00000001497",0.02
"4",7,"226936_at","CENPW","ENSG00000203760",0.02
"5",8,"213310_at","AGO2","ENSG00000123908",0.02
"6",9,"216194_s_at","TBCB","ENSG00000105254",0.02
"7",10,"226954_at","UBE2R2","ENSG00000107341",-0.0555555555555556
"8",11,"213607_x_at","NADK","ENSG00000008130",0.02
"9",12,"1555274_a_at","SELENOI","ENSG00000138018",0.02
"10",13,"217901_at","DSG2","ENSG00000046604",0.02
"11",14,"218947_s_at","MTPAP","ENSG00000107951",0.02
"12",15,"230192_at","TRIM13","ENSG00000204977",-0.0555555555555556
"13",16,"221970_s_at","NOL11","ENSG00000130935",0.02
"14",17,"212533_at","WEE1","ENSG00000166483",0.02
"15",18,"204033_at","TRIP13","ENSG00000071539",0.02
"16",20,"225082_at","CPSF3","ENSG00000119203",0.02
"17",21,"213535_s_at","UBE2I","ENSG00000103275",0.02
"18",23,"205235_s_at","KIF20B","ENSG00000138182",0.02
"19",24,"1555864_s_at","PDHA1","ENSG00000131828",0.02
"20",25,"204016_at","LARS2","ENSG00000011376",0.02
"21",26,"58696_at","EXOSC4","ENSG00000178896",0.02
"22",27,"225582_at","ITPRIP","ENSG00000148841",-0.0555555555555556
"23",30,"1557277_a_at","LINC01016","ENSG00000249346",-0.0555555555555556
"24",32,"202838_at","FUCA1","ENSG00000179163",-0.0555555555555556
"25",34,"220789_s_at","TBRG4","ENSG00000136270",0.02
"26",35,"209740_s_at","PNPLA4","ENSG00000006757",-0.0555555555555556
"27",37,"222417_s_at","SNX5","ENSG00000089006",0.02
"28",38,"210334_x_at","BIRC5","ENSG00000089685",0.02
"29",39,"204092_s_at","AURKA","ENSG00000087586",0.02
"30",41,"206332_s_at","IFI16","ENSG00000163565",0.02
"31",42,"206513_at","AIM2","ENSG00000163568",0.02
"32",43,"200634_at","PFN1","ENSG00000108518",0.02
"33",45,"200966_x_at","ALDOA","ENSG00000149925",0.02
"34",48,"238952_x_at","ZNF829","ENSG00000185869",0.02
"35",49,"204023_at","RFC4","ENSG00000163918",0.02
"36",50,"243011_at","NXPE3","ENSG00000144815",0.02
"37",51,"219918_s_at","ASPM","ENSG00000066279",0.02
"38",53,"206364_at","KIF14","ENSG00000118193",0.02
"39",54,"213628_at","CLCC1","ENSG00000121940",-0.0555555555555556
"40",56,"227278_at","TAF13","ENSG00000197780",-0.0555555555555556
"41",57,"222495_at","TMEM167B","ENSG00000215717",-0.0555555555555556
"42",58,"201231_s_at","ENO1","ENSG00000074800",0.02
"43",64,"200638_s_at","YWHAZ","ENSG00000164924",0.02
"44",65,"242488_at","CHRM3","ENSG00000133019",0.02
"45",66,"200850_s_at","AHCYL1","ENSG00000168710",-0.0555555555555556
"46",68,"1565951_s_at","CHML","ENSG00000203668",0.02
"47",69,"227547_at","","ENSG00000260257",-0.0555555555555556
"48",70,"201091_s_at","CBX3","ENSG00000122565",0.02
"49",71,"202729_s_at","LTBP1","ENSG00000049323",-0.0555555555555556
"50",72,"213194_at","ROBO1","ENSG00000169855",0.02
"51",73,"211576_s_at","SLC19A1","ENSG00000173638",0.02
"52",75,"201614_s_at","RUVBL1","ENSG00000175792",0.02
"53",76,"48106_at","SLC48A1","ENSG00000211584",-0.0555555555555556
"54",77,"212435_at","TRIM33","ENSG00000197323",-0.0555555555555556
"55",78,"224523_s_at","CMSS1","ENSG00000184220",0.02
"56",79,"224200_s_at","RAD18","ENSG00000070950",0.02
"57",81,"203432_at","TMPO","ENSG00000120802",0.02
"58",82,"218924_s_at","CTBS","ENSG00000117151",-0.0555555555555556
"59",84,"209717_at","EVI5","ENSG00000067208",-0.0555555555555556
"60",85,"201947_s_at","CCT2","ENSG00000166226",0.02
"61",87,"1554736_at","ARHGAP29","ENSG00000137962",-0.0555555555555556
"62",88,"202345_s_at","FABP5","ENSG00000164687",0.02
"63",89,"201897_s_at","CKS1B","ENSG00000173207",0.02
"64",90,"200916_at","TAGLN2","ENSG00000158710",0.02
"65",91,"201921_at","GNG10","ENSG00000242616",-0.0555555555555556
"66",92,"225834_at","FAM72B","ENSG00000188610",0.02
"67",93,"210460_s_at","PSMD4","ENSG00000159352",0.02
"68",94,"200750_s_at","RAN","ENSG00000132341",0.02
