"","probe","gene","id","weight"
"1","201114_x_at","PSMA7","ENSG00000101182",0.027027027027027
"3","200786_at","PSMB7","ENSG00000136930",0.027027027027027
"4","200673_at","LAPTM4A","ENSG00000068697",-0.03125
"6","208869_s_at","GABARAPL1","ENSG00000139112",-0.03125
"7","223250_at","KLHL7","ENSG00000122550",-0.03125
"8","212050_at","WIPF2","ENSG00000171475",-0.03125
"9","1561060_at","","ENSG00000203643",-0.03125
"10","201157_s_at","NMT1","ENSG00000136448",0.027027027027027
"13","209251_x_at","TUBA1C","ENSG00000167553",0.027027027027027
"15","201252_at","PSMC4","ENSG00000013275",0.027027027027027
"16","205687_at","UBFD1","ENSG00000103353",0.027027027027027
"17","209628_at","NXT2","ENSG00000101888",0.027027027027027
"18","217933_s_at","LAP3","ENSG00000002549",0.027027027027027
"19","202690_s_at","SNRPD1","ENSG00000167088",0.027027027027027
"20","236554_x_at","TMC8","ENSG00000167895",0.027027027027027
"21","225582_at","ITPRIP","ENSG00000148841",-0.03125
"22","239082_at","FZD3","ENSG00000104290",-0.03125
"23","227524_at","FZD3","ENSG00000104290",-0.03125
"24","1557633_at","","ENSG00000161103",-0.03125
"25","226924_at","LINC00909","ENSG00000264247",0.027027027027027
"27","223215_s_at","JKAMP","ENSG00000050130",-0.03125
"28","200039_s_at","PSMB2","ENSG00000126067",0.027027027027027
"29","210334_x_at","BIRC5","ENSG00000089685",0.027027027027027
"31","228984_at","CARNS1","ENSG00000172508",-0.03125
"32","226399_at","DNAJB14","ENSG00000164031",-0.03125
"33","209503_s_at","PSMC5","ENSG00000087191",0.027027027027027
"34","214752_x_at","FLNA","ENSG00000196924",0.027027027027027
"35","217513_at","MILR1","ENSG00000271605",-0.03125
"37","235346_at","FUNDC1","ENSG00000069509",0.027027027027027
"38","200642_at","SOD1","ENSG00000142168",0.027027027027027
"39","223961_s_at","CISH","ENSG00000114737",-0.03125
"40","221223_x_at","CISH","ENSG00000114737",-0.03125
"41","223377_x_at","CISH","ENSG00000114737",-0.03125
"42","201652_at","COPS5","ENSG00000121022",0.027027027027027
"43","229388_at","","ENSG00000227540",-0.03125
"47","211302_s_at","PDE4B","ENSG00000184588",-0.03125
"48","203708_at","PDE4B","ENSG00000184588",-0.03125
"49","227893_at","LINC00476","ENSG00000175611",-0.03125
"50","202768_at","FOSB","ENSG00000125740",-0.03125
"51","212960_at","TBC1D9","ENSG00000109436",-0.03125
"52","1552519_at","ACVR1C","ENSG00000123612",-0.03125
"53","201754_at","COX6C","ENSG00000164919",0.027027027027027
"56","236986_at","LINC00582","ENSG00000229228",-0.03125
"57","219110_at","GAR1","ENSG00000109534",0.027027027027027
"58","225638_at","COA6","ENSG00000168275",0.027027027027027
"61","204587_at","SLC25A14","ENSG00000102078",0.027027027027027
"62","218351_at","COMMD8","ENSG00000169019",0.027027027027027
"63","216215_s_at","RBFOX2","ENSG00000100320",-0.03125
"64","212296_at","PSMD14","ENSG00000115233",0.027027027027027
"65","202596_at","ENSA","ENSG00000143420",0.027027027027027
"66","238801_at","RBM33","ENSG00000184863",-0.03125
"67","1552542_s_at","TAGAP","ENSG00000164691",-0.03125
"68","213658_at","ZNF710-AS1","ENSG00000259291",-0.03125
"71","211609_x_at","PSMD4","ENSG00000159352",0.027027027027027
"73","203396_at","PSMA4","ENSG00000041357",0.027027027027027
"74","202243_s_at","PSMB4","ENSG00000159377",0.027027027027027
"75","202244_at","PSMB4","ENSG00000159377",0.027027027027027
"76","223480_s_at","MRPL47","ENSG00000136522",0.027027027027027
"77","202340_x_at","NR4A1","ENSG00000123358",-0.03125
"78","200830_at","PSMD2","ENSG00000175166",0.027027027027027
"79","242548_x_at","ANKRD37","ENSG00000186352",-0.03125
"80","239343_at","","ENSG00000260329",-0.03125
"81","218566_s_at","CHORDC1","ENSG00000110172",0.027027027027027
"82","200014_s_at","HNRNPC","ENSG00000092199",0.027027027027027
"83","212626_x_at","HNRNPC","ENSG00000092199",0.027027027027027
"84","211069_s_at","SUMO1","ENSG00000116030",0.027027027027027
"85","1564423_a_at","CRYZL2P-SEC16B","ENSG00000254154",-0.03125
"86","210460_s_at","PSMD4","ENSG00000159352",0.027027027027027
"87","200882_s_at","PSMD4","ENSG00000159352",0.027027027027027
